Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,4,Mia Pacheco,5,1.0,1.0,,1.0,1,,0,0.0,,1,1,2,0,0,0,2,0,3,2.78,66.67,150.0,0.0,AMHERST_WBB
Elms,10,Mary Turco,33,2.0,6.0,,0.0,0,,0,4.0,,3,5,8,0,3,3,1,3,4,7.89,11.42,33.33,66.67,AMHERST_WBB
Elms,12,Jade Lewis,27,1.0,5.0,,0.0,1,,0,2.0,,0,1,1,0,2,0,7,2,2,0.0,54.35,20.0,40.0,AMHERST_WBB
Elms,13,Talia Uribe,21,0.0,2.0,,0.0,0,,0,0.0,,2,1,3,0,0,0,2,3,0,5.41,50.0,0.0,0.0,AMHERST_WBB
Elms,14,Jenny Gorski,19,0.0,5.0,,0.0,0,,1,2.0,,2,0,2,0,2,1,1,1,1,5.41,14.53,0.0,40.0,AMHERST_WBB
Elms,15,Shea Barron,8,2.0,7.0,,1.0,3,,0,0.0,,0,0,0,0,0,0,0,1,5,0.0,0.0,35.71,0.0,AMHERST_WBB
Elms,20,Kelly LeBel,16,0.0,2.0,,0.0,2,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,AMHERST_WBB
Elms,22,Rahmia Johnston,38,1.0,14.0,,0.0,4,,6,10.0,,1,2,3,3,1,0,3,1,8,2.78,14.02,7.14,71.43,AMHERST_WBB
Elms,23,Piper Graham,30,1.0,8.0,,1.0,4,,2,4.0,,0,2,2,0,2,0,4,1,5,0.0,29.07,18.75,50.0,AMHERST_WBB
Elms,44,Stephanie Mildner,1,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,,,,AMHERST_WBB
Elms,TM,Team,,0.0,0.0,,0.0,,,,0.0,,5,2,7,,,,0,0,0,12.5,,,,AMHERST_WBB
Amherst,2,Reagan Pahl,13,0.0,1.0,,0.0,0,,0,0.0,,0,3,3,1,0,0,2,2,0,0.0,66.67,0.0,0.0,AMHERST_WBB
Amherst,3,Elizabeth Cain,15,1.0,6.0,,0.0,1,,1,1.0,,2,1,3,0,1,0,1,5,3,11.11,13.44,16.67,16.67,AMHERST_WBB
Amherst,10,Anna Tranum,24,5.0,9.0,,2.0,4,,0,0.0,,1,0,1,0,2,0,2,4,12,5.88,18.18,66.67,0.0,AMHERST_WBB
Amherst,11,Annie McCarthy,32,2.0,12.0,,2.0,8,,0,0.0,,1,4,5,2,2,0,2,1,6,5.88,14.29,25.0,0.0,AMHERST_WBB
Amherst,21,Maya Cwalina,35,5.0,11.0,,1.0,2,,2,2.0,,5,9,14,0,0,6,1,3,13,23.81,7.76,50.0,18.18,AMHERST_WBB
Amherst,24,Brielle Renwick,27,6.0,9.0,,0.0,1,,0,1.0,,6,7,13,4,0,1,7,5,12,27.27,42.58,66.67,11.11,AMHERST_WBB
Amherst,25,Kori Barach,30,7.0,11.0,,0.0,4,,2,3.0,,5,7,12,3,1,0,4,3,16,23.81,24.51,63.64,27.27,AMHERST_WBB
Amherst,33,Sylvia Liddle,26,1.0,7.0,,0.0,3,,2,2.0,,2,2,4,4,1,0,2,0,4,11.11,20.24,14.29,28.57,AMHERST_WBB
Amherst,TM,Team,,0.0,0.0,,0.0,,,,0.0,,3,2,5,,,,0,0,0,15.79,,,,AMHERST_WBB
