Player 1,Player 2,Plus/Minus
"JOHNSTON,RAHMIA","SMITH,HEAVEN",20
"SMITH,HEAVEN","URIBE,TALIA",13
"GORSKI,JENNY","SMITH,HEAVEN",12
"SMITH,HEAVEN","TURCO,MARY",9
"GRAHAM,PIPER","SMITH,HEAVEN",8
"LEWIS,JADE","SMITH,HEAVEN",6
"MILDNER,STEPHANIE","WASIEWICZ,GABBY",6
"GUERRIER,PHONIA","TURCO,MARY",5
"GORSKI,JENNY","PACHECO,MIA",5
"PACHECO,MIA","TURCO,MARY",4
"MILDNER,STEPHANIE","TURCO,MARY",3
"GRAHAM,PIPER","PACHECO,MIA",3
"ASFAW,SOLIYANA","MILDNER,STEPHANIE",1
"PACHECO,MIA","SMITH,HEAVEN",0
"BARRON,SHEA","SMITH,HEAVEN",0
"ASFAW,SOLIYANA","GUERRIER,PHONIA",0
"PACHECO,MIA","URIBE,TALIA",0
"ASFAW,SOLIYANA","PACHECO,MIA",-1
"ASFAW,SOLIYANA","GORSKI,JENNY",-1
"GORSKI,JENNY","MILDNER,STEPHANIE",-1
"ANDRADE,SOPHIA","SMITH,HEAVEN",-1
"GUERRIER,PHONIA","SMITH,HEAVEN",-2
"GRAHAM,PIPER","GUERRIER,PHONIA",-3
"LEBEL,KELLY","TURCO,MARY",-3
"MILDNER,STEPHANIE","SMITH,HEAVEN",-4
"GORSKI,JENNY","GUERRIER,PHONIA",-5
"LEBEL,KELLY","SMITH,HEAVEN",-5
"BARRON,SHEA","MILDNER,STEPHANIE",-6
"GORSKI,JENNY","TURCO,MARY",-6
"JOHNSTON,RAHMIA","PACHECO,MIA",-6
"ASFAW,SOLIYANA","TURCO,MARY",-7
"ANDRADE,SOPHIA","MILDNER,STEPHANIE",-7
"LEWIS,JADE","PACHECO,MIA",-12
"GRAHAM,PIPER","MILDNER,STEPHANIE",-12
"ASFAW,SOLIYANA","BARRON,SHEA",-13
"MILDNER,STEPHANIE","PACHECO,MIA",-15
"GUERRIER,PHONIA","JOHNSTON,RAHMIA",-15
"ANDRADE,SOPHIA","GORSKI,JENNY",-15
"GUERRIER,PHONIA","MILDNER,STEPHANIE",-16
"LEBEL,KELLY","WASIEWICZ,GABBY",-17
"BARRON,SHEA","GUERRIER,PHONIA",-17
"BARRON,SHEA","PACHECO,MIA",-17
"MILDNER,STEPHANIE","URIBE,TALIA",-17
"GUERRIER,PHONIA","LEWIS,JADE",-17
"ASFAW,SOLIYANA","JOHNSTON,RAHMIA",-18
"ASFAW,SOLIYANA","URIBE,TALIA",-20
"LEBEL,KELLY","PACHECO,MIA",-20
"ASFAW,SOLIYANA","LEWIS,JADE",-22
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",-25
"ANDRADE,SOPHIA","TURCO,MARY",-25
"ANDRADE,SOPHIA","URIBE,TALIA",-26
"TURCO,MARY","WASIEWICZ,GABBY",-26
"GORSKI,JENNY","WASIEWICZ,GABBY",-27
"GORSKI,JENNY","LEBEL,KELLY",-28
"LEBEL,KELLY","MILDNER,STEPHANIE",-28
"ANDRADE,SOPHIA","GUERRIER,PHONIA",-29
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",-31
"LEWIS,JADE","MILDNER,STEPHANIE",-31
"GRAHAM,PIPER","LEBEL,KELLY",-32
"ANDRADE,SOPHIA","PACHECO,MIA",-32
"GUERRIER,PHONIA","LEBEL,KELLY",-32
"GUERRIER,PHONIA","PACHECO,MIA",-33
"URIBE,TALIA","WASIEWICZ,GABBY",-33
"BARRON,SHEA","WASIEWICZ,GABBY",-33
"ANDRADE,SOPHIA","BARRON,SHEA",-38
"ASFAW,SOLIYANA","LEBEL,KELLY",-39
"ANDRADE,SOPHIA","ASFAW,SOLIYANA",-40
"ANDRADE,SOPHIA","GRAHAM,PIPER",-40
"BARRON,SHEA","GRAHAM,PIPER",-45
"BARRON,SHEA","TURCO,MARY",-46
"BARRON,SHEA","URIBE,TALIA",-47
"GRAHAM,PIPER","WASIEWICZ,GABBY",-49
"BARRON,SHEA","GORSKI,JENNY",-52
"LEBEL,KELLY","LEWIS,JADE",-52
"LEBEL,KELLY","URIBE,TALIA",-53
"LEWIS,JADE","WASIEWICZ,GABBY",-54
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-55
"GORSKI,JENNY","URIBE,TALIA",-62
"BARRON,SHEA","LEBEL,KELLY",-63
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",-64
"GORSKI,JENNY","LEWIS,JADE",-67
"GRAHAM,PIPER","TURCO,MARY",-67
"BARRON,SHEA","LEWIS,JADE",-70
"GORSKI,JENNY","GRAHAM,PIPER",-72
"ANDRADE,SOPHIA","LEBEL,KELLY",-78
"JOHNSTON,RAHMIA","LEBEL,KELLY",-98
"TURCO,MARY","URIBE,TALIA",-99
"ANDRADE,SOPHIA","LEWIS,JADE",-107
"BARRON,SHEA","JOHNSTON,RAHMIA",-109
"GRAHAM,PIPER","URIBE,TALIA",-109
"LEWIS,JADE","TURCO,MARY",-111
"GORSKI,JENNY","JOHNSTON,RAHMIA",-113
"JOHNSTON,RAHMIA","TURCO,MARY",-147
"GRAHAM,PIPER","LEWIS,JADE",-156
"LEWIS,JADE","URIBE,TALIA",-179
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-186
"JOHNSTON,RAHMIA","URIBE,TALIA",-196
"JOHNSTON,RAHMIA","LEWIS,JADE",-240
